regime_id,volatility,mean_return,duration,skewness,kurtosis,sharpe_ratio
Regime_0,0.5177259219653587,0.011409639671077654,506.0,-0.30521223664105884,0.3162517035324921,0.022037991893017632
Regime_1,0.8014041478624401,0.3315449127413544,5.0,-0.9002012659425045,1.0628513851586021,0.4137050121660509
Regime_2,0.9623026268371736,0.5926407364433633,6.0,0.7746809984186901,0.01183423508006154,0.6158569247505973
Regime_3,0.2285476938083615,-0.19139828247546037,7.0,-0.581637620777911,0.24122591863041798,-0.8374544467552093
Regime_4,0.666865558603182,-0.20708926492970267,7.0,-0.4551414221839603,-1.2941814643221337,-0.31054125116833486
Regime_5,1.1052983177410267,-0.15586286063404106,7.0,-1.3705245900168186,2.571239321366301,-0.14101429282240163
Regime_6,0.393999791974799,0.5370127250904931,6.0,-0.655849369745476,-1.1612222578244689,1.3629771792489715
Regime_7,0.6496452393938884,-0.07348686995577229,5.0,-2.1553388518951215,4.6909209809933685,-0.11311846143032572
Regime_8,0.5163083265612249,0.5515713861185201,8.0,-1.6194993129892017,3.0729039145083803,1.0682984521906864
Regime_9,0.5530103444235651,0.03246091493695478,6.0,-1.7850989105425168,3.5940298926535696,0.05869856733112412
Regime_10,1.1292615240838333,0.06892816225311356,8.0,-1.0711275289197875,0.48011134608610995,0.06103826331020601
Regime_11,0.536881701029994,-0.5409079331267225,7.0,-0.2605109883196871,0.7545710763082196,-1.00749929097789
Regime_12,0.4924207475233863,0.44884911741099653,5.0,0.1286000661003411,0.35268385976250194,0.9115154462285924
Regime_13,0.6736213578236736,-0.500486008565899,5.0,-1.5631188809672634,2.1299390937165743,-0.7429782365910459
Regime_14,0.42505188822355466,-0.15462404922265974,6.0,-0.9785912598176008,0.5002296122586234,-0.3637768787921152
Regime_15,0.515486704399648,0.25273691950555544,5.0,-0.2923605303469119,-1.8710088140747905,0.49028794990920427
Regime_16,0.7408465101630649,-0.010892488642932161,7.0,-0.37230854543981734,-2.4821969887083255,-0.014702760279635598
Regime_17,0.3544818351399422,0.2802658789083771,6.0,-0.01745732428558721,-2.7113898610339864,0.7906353757103911
Regime_18,0.5375429855258305,-0.48464589800821095,6.0,-0.24560266044054138,-1.9119007476438332,-0.9015946836960862
Regime_19,0.6770251325732976,0.17459676881237032,5.0,0.6823918447733905,0.46231416979426676,0.25788816457780134
Regime_20,0.6808168789329688,-0.48127752069491725,5.0,-0.22536452676286606,-1.9365337948570724,-0.7069118519053379
Regime_21,0.7187007330864479,-0.26579344873338906,5.0,0.3784826907972481,1.7640511474,-0.36982493059655536
Regime_22,0.3494020370656082,0.12205494086372556,4.0,1.2598054335987934,0.7960711847314474,0.34932521255108473
Regime_23,0.6653102313361681,0.3937327060783601,5.0,0.8314331302451385,1.4542212187444754,0.5918031732168189
Regime_24,0.26366552622776573,-0.2190561407287018,5.0,-0.32267020437560257,0.5212995050887628,-0.8308107012043418
Regime_25,0.2910909054313417,0.23973164775780292,7.0,0.5936956393092041,-1.3739817529330978,0.8235628227634455
Regime_26,0.9173015082928863,-0.3618253752155365,5.0,-1.1458160402293849,1.7927469274783672,-0.3944454161957061
Regime_-1,1.2661655943661965,-0.016913237243767042,579.0,-0.5199286164504403,6.055234390602996,-0.013357839858405952
